Hour,Min,Second,Total Seconds,Temp,pH
21,35,1,0.00045418739318847656,25.687,8.435546875
21,35,4,2.369070053100586,25.687,8.380859375
21,35,6,4.7690911293029785,25.625,8.271484375
21,35,9,7.208418130874634,25.687,8.3125
21,35,11,9.64869213104248,25.687,8.06640625
21,35,13,12.048619985580444,25.687,8.462890625
21,35,16,14.44886302947998,25.687,8.33984375
21,35,18,16.848647117614746,25.625,8.4765625
21,35,21,19.24915599822998,25.625,8.23046875
21,35,23,21.648820161819458,25.625,8.380859375
21,35,25,24.048562049865723,25.625,8.162109375
21,35,28,26.44689917564392,25.625,8.244140625
21,35,30,28.85094118118286,25.625,8.244140625
21,35,33,31.248342037200928,25.625,8.408203125
21,35,35,33.64849901199341,25.625,8.380859375
21,35,37,36.048583984375,25.625,8.39453125
21,35,40,38.44876003265381,25.625,8.216796875
21,35,42,40.8486909866333,25.562,8.162109375
21,35,45,43.24689817428589,25.562,8.216796875
21,35,47,45.648720026016235,25.562,8.435546875
21,35,49,48.04901313781738,25.562,8.28515625
21,35,52,50.44874095916748,25.562,8.271484375
21,35,54,52.84889507293701,25.562,8.33984375
21,35,57,55.24895215034485,25.562,8.326171875
21,35,59,57.64908719062805,25.562,8.244140625
21,36,1,60.049286127090454,25.562,8.298828125
21,36,4,62.44794011116028,25.5,8.271484375
21,36,6,64.84966707229614,25.562,8.189453125
21,36,9,67.24912905693054,25.5,8.353515625
21,36,11,69.649080991745,25.5,8.380859375
21,36,13,72.04893398284912,25.5,8.3671875
21,36,16,74.44880104064941,25.5,8.5859375
21,36,18,76.84877300262451,25.5,8.490234375
21,36,21,79.248281955719,25.5,8.271484375
21,36,23,81.64784002304077,25.5,8.435546875
21,36,25,84.04868006706238,25.5,8.3125
21,36,28,86.44839000701904,25.5,8.28515625
21,36,30,88.84865117073059,25.5,8.1484375
21,36,33,92.12898015975952,25.5,8.380859375
21,36,36,94.52679204940796,25.5,8.462890625
21,36,38,96.92876696586609,25.437,8.28515625
21,36,41,99.32856106758118,25.437,8.39453125
21,36,43,101.72825598716736,25.437,8.203125
21,36,45,104.12871813774109,25.437,8.2578125
21,36,48,106.52890014648438,25.437,8.326171875
21,36,50,108.92912197113037,25.437,8.28515625
21,36,53,111.32871508598328,25.437,8.09375
21,36,55,113.72850108146667,25.437,8.326171875
21,36,57,116.12881207466125,25.437,8.23046875
21,37,0,118.52883005142212,25.437,8.216796875
21,37,2,120.92832207679749,25.437,8.3671875
21,37,5,123.32881712913513,25.375,8.271484375
21,37,7,125.72892999649048,25.375,8.298828125
21,37,9,128.12889003753662,25.375,8.353515625
21,37,12,130.52846002578735,25.375,8.326171875
21,37,14,132.92844319343567,25.375,8.3125
21,37,17,135.328595161438,25.375,8.3125
21,37,19,137.72876811027527,25.375,8.3125
21,37,21,140.12846517562866,25.375,8.17578125
21,37,24,142.52893114089966,25.375,8.353515625
21,37,26,144.92840814590454,25.375,8.244140625
21,37,29,147.32887315750122,25.375,8.28515625
21,37,31,149.72863912582397,25.312,8.134765625
21,37,33,152.1289050579071,25.312,8.3671875
21,37,36,154.52919912338257,25.375,8.4765625
21,37,38,156.92903304100037,25.312,8.39453125
21,37,42,160.2088761329651,25.312,8.3125
21,37,44,162.60862112045288,25.312,8.203125
21,37,46,165.00847816467285,25.312,8.1484375
21,37,49,167.40846514701843,25.312,8.3671875
21,37,51,169.80847716331482,25.312,8.09375
21,37,54,172.2086420059204,25.312,8.298828125
21,37,57,175.48867511749268,25.25,8.326171875
21,37,59,177.88864612579346,25.25,8.33984375
21,38,2,180.2888331413269,25.25,8.39453125
21,38,4,182.6886920928955,25.25,8.44921875
21,38,6,185.0884051322937,25.25,8.271484375
21,38,9,187.48877096176147,25.25,8.33984375
21,38,11,189.88922810554504,25.25,8.380859375
21,38,14,192.28873801231384,25.25,8.3671875
21,38,16,194.68877911567688,25.25,8.17578125
21,38,18,197.08737206459045,25.25,8.353515625
21,38,22,200.3687460422516,25.25,7.779296875
21,38,25,203.1479389667511,25.25,7.79296875
21,38,26,205.06809401512146,25.25,7.970703125
21,38,29,207.8679370880127,25.25,8.33984375
21,38,32,210.28888416290283,25.25,8.203125
21,38,34,212.68885397911072,25.25,8.0390625
21,38,37,215.96873497962952,25.2
